Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
Consumer Internet,Mortgage Offering Platform,Gurgaon,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,"1,50,00,000"
Consumer Internet,Parenting Mobile App,New Delhi,Mohit Joshi & Others,Seed Funding,"3,30,000"
Technology,Expense Management Solution,Bangalore,Pravega Ventures,Seed Funding,"4,00,000"
Consumer Internet,Online Bike & Car Services provider,Chennai,"Mahalingam K, Girish Mathrubootham",Seed Funding,"3,00,000"
Consumer Internet,Online Payment Gateway,Mumbai,Infibeam,Private Equity,"2,24,00,000"
Technology,Data Analytics platform,New Delhi,Vikram Sud,Seed Funding,
Consumer Internet,Co-Working Space Platform,New Delhi,"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye",Seed Funding,
Consumer Internet,Online Consumer Lending platform,Bangalore,"PayU, Ribbit Capital, Omidyar Network",Private Equity,"65,00,000"
Technology,Drone operations management platform,Missourie,Quake Capital,Seed Funding,"3,50,000"
Consumer Internet,Online Marketplace for Used Cars,Mumbai,Shunwei Capital,Private Equity,"30,00,000"
Consumer Internet,Online Media,Bangalore,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",Private Equity,"30,00,000"
Technology,AR & VR platform,Hyderabad,SRI Capital,Seed Funding,"5,00,000"
Consumer Internet,Online Media Platform,Bangalore,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",Seed Funding,"4,00,000"
ECommerce,Online Furniture Store,Bangalore,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,"1,52,00,000"
Consumer Internet,Online match-making app,Bangalore,"Konglo Ventures, White Unicorn Ventures, LetsVenture",Seed Funding,
Consumer Internet,DIY event registration and ticketing portal,Pune,BookMyShow,Private Equity,
eCommerce,Solution provider for pet needs,Mumbai,Facebook FBStart,Seed Funding,"40,000"
Consumer Internet,First Aid care app,Gurgaon,Facebook FBStart,Seed Funding,"40,000"
eCommerce,Online Marketplace,Bangalore,"Bennett, Coleman and Co. Ltd (BCCL)",Private Equity,"3,87,00,000"
Consumer Internet,Mobile balance Checking App,Gurgaon,"Softbank Ventures Korea, IMM Investment",Private Equity,"1,50,00,000"
Consumer Internet,Photo Sharing for Groups,Bangalore,Facebook FBStart,Seed Funding,"40,000"
Consumer Internet,Smart Parking Platform,New Delhi,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",Private Equity,"11,00,000"
Consumer Internet,B2B Mobile App for Pharmacies,Mumbai,"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal",Seed Funding,
Consumer Internet,Mobile Advertising App,Noida,"Pankaj Rungta, Yogesh Agarwal",Seed Funding,
Consumer Internet,Co-Living Spaces Aggregator,Bangalore,Ishan Manaktala,Seed Funding,
Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",Seed Funding,"3,75,000"
ECommerce,Online Jewellery etailer,Bangalore,Undisclosed Investors,Seed Funding,"94,000"
Consumer Internet,Live Online Coaching Classes,New Delhi,"Brand Capital, Paragon Trust",Private Equity,"10,00,000"
Logistics,Online freight aggregator,Bangalore,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass",Private Equity,"7,00,00,000"
Consumer Internet,Online Tax Filing platform,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,"3,66,000"
Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,"8,25,000"
ecommerce,Fashion ecommerce portal,Mumbai,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",Seed Funding,
Consumer Internet,Online/App Based Car cleaning service provider,Gurgaon,Vishal Malik,Seed Funding,
Technology,Blended Learning Delivery App for Schools & Corporates,Chennai,Kae Capital,Seed Funding,
Consumer Internet,Dentist Appointments booking platform,Bangalore,DanGold Investment Corp,Private Equity,
Technology,Healthcare Technology Solutions,Bangalore,"Marico Innovation Foundation (MIF), Villgro",Private Equity,
Logistics,Supply Chain Solutions Provider,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,"1,30,00,000"
Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,"5,70,00,000"
Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,"3,50,00,000"
Technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,"8,00,000"
Technology,e-surveillance services provider,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,"50,00,000"
Consumer Internet,Small Business Loans Marketplace platform,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,"22,50,000"
Consumer Internet,online marketplace for driving schools,Bangalore,Aavya Ventures,Seed Funding,
Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,"1,00,000"
eCommerce,Online eyewear retailer,Bangalore,Ronnie Screwvala,Private Equity,"35,00,000"
Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Zishaan Hayath, Karan Chellani, Mohit Satyan",Seed Funding,
Consumer Internet,Real-time Mobile App Management Platform,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,"13,50,000"
Consumer Internet,Property Search Aggregator platform,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,"1,00,00,000"
Technology,IoT smart Logistics and Asset Management Company,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,"41,00,000"
Consumer Internet,Cashback & Coupons platform,Bangalore,Vividhity Ventures,Seed Funding,
Consumer Internet,Gadgets Repair & Service Booking platform,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed Funding,"4,40,000"
Consumer Internet,Online learning platform,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,"45,00,000"
Technology,Cloud-based solutions provider,Bangalore,"Axilor Ventures, Parampara Early Stage Opportunities Fund & Others",Private Equity,
Consumer Internet,Personality Development Mobile App,Bangalore,"Harsh V. Pant, Ratheesh Raveendran",Seed Funding,
Consumer Internet,Branded PG Accomodation booking platform,Bangalore,"Nexus Venture Partners, Innoven Capital",Private Equity,"50,00,000"
Technology,SAAS Based Media Marketing platform,New Delhi,Quarizon,Seed Funding,
Consumer Internet,Custom & Modular Furniture platform,Mumbai,Undisclosed Investors,Seed Funding,"7,00,000"
Consumer Internet,Online Learning Platform,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,"8,00,000"
Consumer Internet,Parenting Info & Social Network,Bangalore,Flipkart,Private Equity,"20,00,000"
Consumer Internet,Online Healthcare platform,Bangalore,"Tencent,\\xc2\\xa0 ru-Net, RSI Fund, Thrive Capital",Private Equity,"5,50,00,000"
Consumer Internet,Food Discovery Platform,New Delhi,India Quotient and others,Seed Funding,"4,41,000"
Consumer Internet,Online Car Service Platform,Gwalior,undisclosed investors,Seed Funding,"5,00,000"
Consumer Internet,Logistics and truck aggregator platform,Bangalore,"Ajith Nair, Anish K",Seed Funding,"1,47,000"
Technology,Cyber Security Solution provider,New Delhi,"Amajit Gupta, Praveen Dubey, J.P. Bhatt",Seed Funding,
eCommerce,B2B Marketplace for Handicrafts,Gurgaon,Rajasthan Venture Capital Fund,Seed Funding,
eCommerce,Online Tea etailer,New Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed Funding,"6,50,000"
Technology,Cloud-based construction,Bangalore,Undisclosed Investors,Seed Funding,"3,00,000"
Consumer Internet,Parking Solutions mobile app,Bangalore,SB Ventures,Seed Funding,
Consumer Internet,Online Marketplace for Wedding Venues and vendors,Mumbai,Singularity Ventures,Private Equity,"10,00,000"
eCommerce,Indian Sweets & Snacks etailer,Karur,"Indian Angel Network, Native Angels Network",Seed Funding,
Consumer Internet,Fitness Mobile App,Noida,SD Group,Private Equity,
Technology,Visual and Interactive communications Solutions,Pune,Deepak Nathani,Seed Funding,
eCommerce,B2B Wholesale Marketplace in India,Gurgaon,"Bessemer Venture Partners, Stellaris Venture Partners, Jungle Venture Partners, Axis Capital",Private Equity,
Technology,IoT platform for Tyre Performance management & tracking,Mumbai,IvyCamp Ventures,Seed Funding,
Technology,Data Analytics platform,New Delhi,Umang Moondra,Seed Funding,
Consumer Internet,social messaging platform,New Delhi,Undisclosed investor,Seed Funding,"50,000"
Technology,Audit automation Solutions,Pune,Singapore based investor,Seed Funding,
Technology,Border Intrusion Alert Solutions,New Delhi,YourNest Fund II,Seed Funding,
Technology,Maths Learning program,New Delhi,"CapitalG, Sequoia India",Private Equity,"1,50,00,000"
Technology,Online learning platform,Bangalore,India Educational Investment Fund,Seed Funding,
Consumer Internet,Online Job portal,Mumbai,India Educational Investment Fund,Seed Funding,
Consumer Internet,Mobile-based Social Platform for Sports,Bangalore,Indochine International,Private Equity,"5,00,000"
Consumer Internet,Platform to take businesses online,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,"1,00,00,000"
Consumer Internet,Online transport vehicle booking platform,Bangalore,"GMO Japan, Neelesh Bhatnagar",Private Equity,"40,00,000"
Technology,ECommerce Marketing Software,Noida,East Ventures & Others,Private Equity,
Consumer Internet,Crowdfunding Platform,Mumbai,"Sharad Sharma, Rajan Anandan,\\xc2\\xa0 Amit Ranjan, Alok Mittal & others",Seed Funding,
Technology,Agri Decision Support Solution for farmers,Pune,IvyCap Ventures,Private Equity,"40,00,000"
Technology,Loyalty program management solutions,New Delhi,"Senovo, Unternehmertum Venture Capital, Alexander Bruehl",Private Equity,
Technology,Security-as-a-Service solution provider,Bangalore,ABM Knowledgeware,Private Equity,"22,00,000"
eCommerce,eCommerce Marketplace,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,"88,00,000"
Technology,Mobile Game Developer Studio,Udupi,Dream Incubator,Seed Funding,
Consumer Internet,Health Tests Booking platform & ePharmacy,Ahmedabad,Brand Capital,Private Equity,"14,00,000"
Consumer Internet,Hyper-local Handyman Service provider,Chennai,V Aanand R,Seed Funding,"3,00,000"
Consumer Internet,English Online News portal,Kochi,"Rajesh Yohannan, Puthen & Cole",Seed Funding,
Technology,IoT solutions for home automation applications,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,"1,06,000"
Technology,Cloud based Virtual Servers,New Delhi,The Ten Minute Million,Seed Funding,"22,500"
eCommerce,Used Furniture Marketplace,Mumbai,The Ten Minute Million,Seed Funding,"68,000"
Consumer Internet,Smart Online address tags,Bangalore,The Ten Minute Million,Seed Funding,"18,000"
Consumer Internet,Online Healthcare platform,Mumbai,Chandigarh Angels Network (CAN),Seed Funding,
eCommerce,Online Pet Products Store,New Delhi,Undisclosed Investors,Private Equity,"20,00,000"
Consumer Internet,Online Marriage Registration services,New Delhi,Mumbai Angels,Seed Funding,
Technology,Healthcare Software System,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,"12,00,000"
Consumer Internet,Online Instant personal Loan provider,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,"40,00,000"
Consumer Internet,Lock screen Rewards mobile app,New Delhi,Songhyun Investment,Private Equity,"36,00,000"
Consumer Internet,Entry-Level job Seekers platform,New Delhi,Undisclosed,Seed Funding,"1,00,000"
Consumer Internet,Live Music Streaming App,Bangalore,"GEMs Advisory, Quarizon",Seed Funding,
Technology,Transport and logistics mobile App,Mumbai,Franchise India,Private Equity,"30,00,000"
Consumer Internet,Online Food Ordering & Delivery Portal,Indore,IvyCamp Ventures,Seed Funding,
eCommerce,Online Grocery Store,Bangalore,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,"14,00,000"
eCommerce,"On-demand, self-drive bike rental platform",Mumbai,Grace Capital Ventures,Seed Funding,
Consumer Internet,Mobile Contacts Management app,New Delhi,Info Edge (India),Seed Funding,"1,47,000"
Technology,Clinical research and data analytics,Gurgaon,"Ajith Sukumaran, Currae Healthtech Fund",Seed Funding,
Consumer Internet,Mobile App based Fashion Network,Singapore,Eros Labs,Seed Funding,
eCommerce,Mobile-only Retailers Engagement Solution,New Delhi,"The Chennai Angels, LetsVenture",Seed Funding,
Consumer Internet,"Venue, Events Booking platform",Mumbai,Investors from Mumbai Angels & LetsVenture,Seed Funding,
Consumer Internet,Pet Parenting mobile app,Bangalore,"Mohan Kumar, V. Balakrishnan",Seed Funding,
Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,"90,00,000"
Consumer Internet,Online Investment Advisory platform,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,"4,40,000"
Technology,Connected Transportation solutions,Bangalore,"Calcutta Angel Network, Appliyifi",Seed Funding,
Consumer Internet,Online Consumer Lending platform,Mumbai,PayU,Private Equity,"65,00,000"
Consumer Internet,Online Car servicing Booking platform,Gurgaon,Venture Catalysts,Seed Funding,"2,50,000"
eCommerce,Fashion Apparel eTailer,New Delhi,Kalaari Capital,Private Equity,"60,00,000"
eCommerce,Beauty Products etailer,Mumbai,Max Ventures and Industries,Private Equity,
Technology,Content Management & Productivity platform,Bangalore,Mumbai Angels,Seed Funding,"4,50,000"
Technology,Health-Tech platform,Jaipur,Unicorn India Ventures,Seed Funding,"2,50,000"
Technology,Education & learning Tech platform,Bangalore,Verlinvest SA,Private Equity,"1,00,00,000"
Consumer Internet,P2P Lending platform,New Delhi,Undisclosed Investors,Seed Funding,"2,00,000"
Consumer Internet,Online Doctor Consulting platform,Gurgaon,RoundGlass Partners,Private Equity,"20,00,000"
Consumer Internet,Self-Branded Websites & Apps for Ecommerce,Bangalore,"Axilor, undisclosed investors",Seed Funding,
Food & Beverage,Cold Press Juice manufacturer & seller,New Delhi,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,"20,00,000"
Consumer Internet,Online lending platform,Gurgaon,Omidyar Network,Private Equity,"1,00,00,000"
Logistics,Marketplace for International Freight,Mumbai,"India Quotient, Rajul Garg, Rajesh Yabaji, Chanakya Hridaya, Ramasubramaniam B, Vishwanathan, Nobel House, Sunstone Capital",Seed Funding,
eCommerce,Online business-to-business (B2B) marketplace,Gurgaon,"Zodius Technology Opportunities Fund, Matrix Partners",Private Equity,"1,11,00,000"
Consumer Internet,Fitness Discovery & Booking platform,New Delhi,"FiNC, GHV",Seed Funding,
Consumer Internet,Hotel Booking platform,Gurgaon,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",Seed Funding,"1,50,000"
Consumer Internet,Fitness center aggregator & Booking mobile app,New Delhi,Mumbai Angels,Seed Funding,"10,00,000"
Technology,User analytics and engagement platform,Bangalore,Anand Chandrasekaran,Seed Funding,
Technology,medical grade wearable patch maker,Bangalore,"V. Krishna Prasad, Bhupen Shah & Others",Seed Funding,
Consumer Internet,Online Share & Commodity Broking platform,Indore,Swastika Investmart Ltd,Seed Funding,"2,97,000"
Consumer Internet,Financial Services For Unorganized Workforce,Pune,Digital Financial Service Lab,Seed Funding,"1,00,000"
Technology,Drone Manufacturing,Mumbai,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",Private Equity,"1,00,00,000"
Technology,Media Technology Solutions,Mumbai,"Emerald Media, Premji Invest",Private Equity,"3,50,00,000"
Technology,Digital Entertainment Company,Mumbai,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",Private Equity,"30,00,000"
Technology,Cloud Data Center Solutions provider,Hyderabad,Epsilon Venture Partners,Private Equity,"2,30,00,000"
Consumer Internet,Holiday Packages provider,New Delhi,"GEMS Advisory, Quarizon",Seed Funding,"1,23,000"
Consumer Internet,Events & Activities Marketplace,Bangalore,Axilor Ventures,Private Equity,
Consumer Internet,Rental property search portal,Bangalore,"KTB Network, SAIF Partners, BEENEXT, Digital Garage",Private Equity,"74,00,000"
eCommerce,Online jewellery marketplace,Mumbai,Undisclosed Investors,Seed Funding,"50,000"
Consumer Internet,Doctor Search Mobile App,Kolkata,Ajith Nair,Seed Funding,
Consumer Internet,Self-Driven Cab booking platform,Bangalore,Cyber Carrier CL,Private Equity,
Consumer Internet,Online Learning platform,Bangalore,International Financial Corporation,Private Equity,"1,50,00,000"
Consumer Internet,Daily Subscription based Delivery service,Mumbai,"Dr. Apoorv Ranjan Sharma, Anil Jain, Anuj Golecha, Krishna Jhunjhunwala, Anirudh Damani",Seed Funding,
